Date : 2021-08-25 18:11:26
Directory : c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0
Total : 1077 files,  76948 codes, 17749 comments, 11184 blanks, all 105881 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| mmdet\core\evaluation                                                                                                                                         |          6 |        611 |        193 |         99 |        903 |
| mmdet\core\export                                                                                                                                             |          4 |        345 |        162 |         73 |        580 |
| mmdet\core\mask                                                                                                                                               |          4 |        632 |        499 |        107 |      1,238 |
| mmdet\core\post_processing                                                                                                                                    |          3 |        189 |        100 |         42 |        331 |
| mmdet\core\utils                                                                                                                                              |          3 |         90 |         48 |         25 |        163 |
| mmdet\core\visualization                                                                                                                                      |          2 |        197 |         81 |         31 |        309 |
| mmdet\datasets                                                                                                                                                |         25 |      4,301 |      2,110 |        691 |      7,102 |
| mmdet\datasets\api_wrappers                                                                                                                                   |          2 |         28 |          7 |         16 |         51 |
| mmdet\datasets\pipelines                                                                                                                                      |          8 |      2,133 |      1,389 |        397 |      3,919 |
| mmdet\datasets\samplers                                                                                                                                       |          3 |        133 |         30 |         31 |        194 |
| mmdet\models                                                                                                                                                  |        169 |     23,370 |     10,170 |      3,385 |     36,925 |
| mmdet\models\backbones                                                                                                                                        |         14 |      2,732 |        806 |        447 |      3,985 |
| mmdet\models\dense_heads                                                                                                                                      |         37 |     10,101 |      4,960 |      1,218 |     16,279 |
| mmdet\models\detectors                                                                                                                                        |         35 |      1,241 |        578 |        269 |      2,088 |
| mmdet\models\losses                                                                                                                                           |         17 |      1,366 |        956 |        269 |      2,591 |
| mmdet\models\necks                                                                                                                                            |         14 |      1,478 |        569 |        196 |      2,243 |
| mmdet\models\roi_heads                                                                                                                                        |         40 |      5,434 |      1,666 |        787 |      7,887 |
| mmdet\models\roi_heads\bbox_heads                                                                                                                             |          7 |      1,316 |        562 |        189 |      2,067 |
| mmdet\models\roi_heads\mask_heads                                                                                                                             |         12 |      1,157 |        398 |        177 |      1,732 |
| mmdet\models\roi_heads\roi_extractors                                                                                                                         |          4 |        159 |         97 |         37 |        293 |
| mmdet\models\roi_heads\shared_heads                                                                                                                           |          2 |         71 |          0 |         13 |         84 |
| mmdet\models\utils                                                                                                                                            |         10 |        969 |        628 |        179 |      1,776 |
| mmdet\utils                                                                                                                                                   |          7 |        173 |        122 |         48 |        343 |
| tests                                                                                                                                                         |         74 |      9,567 |      1,009 |      1,737 |     12,313 |
| tests\test_data                                                                                                                                               |         15 |      2,549 |        235 |        437 |      3,221 |
| tests\test_data\test_datasets                                                                                                                                 |          5 |        475 |         35 |        102 |        612 |
| tests\test_data\test_pipelines                                                                                                                                |          9 |      2,003 |        198 |        328 |      2,529 |
| tests\test_data\test_pipelines\test_transform                                                                                                                 |          6 |      1,634 |        192 |        259 |      2,085 |
| tests\test_metrics                                                                                                                                            |          2 |        261 |         39 |         47 |        347 |
| tests\test_models                                                                                                                                             |         41 |      3,932 |        403 |        647 |      4,982 |
| tests\test_models\test_backbones                                                                                                                              |         10 |      1,073 |        121 |        190 |      1,384 |
| tests\test_models\test_dense_heads                                                                                                                            |         18 |      1,481 |        145 |        187 |      1,813 |
| tests\test_models\test_roi_heads                                                                                                                              |          6 |        417 |         42 |         95 |        554 |
| tests\test_models\test_utils                                                                                                                                  |          4 |        195 |         17 |         38 |        250 |
| tests\test_onnx                                                                                                                                               |          4 |        468 |         94 |        124 |        686 |
| tests\test_runtime                                                                                                                                            |          5 |        887 |         71 |        207 |      1,165 |
| tests\test_utils                                                                                                                                              |          7 |      1,470 |        167 |        275 |      1,912 |
| tools                                                                                                                                                         |         28 |      3,276 |        239 |        548 |      4,063 |
| tools\analysis_tools                                                                                                                                          |          8 |      1,361 |         93 |        219 |      1,673 |
| tools\dataset_converters                                                                                                                                      |          2 |        322 |         12 |         55 |        389 |
| tools\deployment                                                                                                                                              |          5 |        723 |         49 |        111 |        883 |
| tools\misc                                                                                                                                                    |          2 |        121 |          2 |         29 |        152 |
| tools\model_converters                                                                                                                                        |          5 |        339 |         50 |         79 |        468 |
| useless                                                                                                                                                       |         36 |      2,409 |         61 |        403 |      2,873 |
| useless\.dev_scripts                                                                                                                                          |         12 |      1,447 |         34 |        163 |      1,644 |
| useless\.github                                                                                                                                               |         11 |        381 |          0 |         91 |        472 |
| useless\.github\ISSUE_TEMPLATE                                                                                                                                |          5 |        110 |          0 |         49 |        159 |
| useless\.github\workflows                                                                                                                                     |          3 |        198 |          0 |         14 |        212 |
| useless\docker                                                                                                                                                |          4 |         62 |          7 |         23 |         92 |
| useless\docker\serve                                                                                                                                          |          3 |         45 |          5 |         17 |         67 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs-mine\cmask_rcnn.py                                                                              | Python           |        266 |         17 |         12 |        295 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs-mine\fcos_r50_caffe_fpn_gn-head_1x_coco.py                                                      | Python           |        101 |          4 |          1 |        106 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\cityscapes_detection.py                                                         | Python           |         55 |          1 |          1 |         57 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\cityscapes_instance.py                                                          | Python           |         55 |          1 |          1 |         57 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\coco_detection.py                                                               | Python           |         48 |          1 |          1 |         50 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\coco_instance.py                                                                | Python           |         48 |          1 |          1 |         50 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\coco_instance_semantic.py                                                       | Python           |         53 |          1 |          1 |         55 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\deepfashion.py                                                                  | Python           |         52 |          1 |          1 |         54 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\lvis_v0.5_instance.py                                                           | Python           |         23 |          1 |          1 |         25 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\lvis_v1_instance.py                                                             | Python           |         23 |          1 |          1 |         25 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\voc0712.py                                                                      | Python           |         54 |          1 |          1 |         56 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\datasets\wider_face.py                                                                   | Python           |         62 |          1 |          1 |         64 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\default_runtime.py                                                                       | Python           |         12 |          3 |          2 |         17 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\cascade_mask_rcnn_r50_fpn.py                                                      | Python           |        194 |          2 |          1 |        197 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\cascade_rcnn_r50_fpn.py                                                           | Python           |        177 |          2 |          1 |        180 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\fast_rcnn_r50_fpn.py                                                              | Python           |         60 |          2 |          1 |         63 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\faster_rcnn_r50_caffe_c4.py                                                       | Python           |        110 |          2 |          1 |        113 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\faster_rcnn_r50_caffe_dc5.py                                                      | Python           |        101 |          2 |          1 |        104 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\faster_rcnn_r50_fpn.py                                                            | Python           |        104 |          4 |          1 |        109 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\mask_rcnn_r50_caffe_c4.py                                                         | Python           |        121 |          2 |          1 |        124 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\mask_rcnn_r50_fpn.py                                                              | Python           |        118 |          2 |          1 |        121 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\retinanet_r50_fpn.py                                                              | Python           |         58 |          2 |          1 |         61 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\rpn_r50_caffe_c4.py                                                               | Python           |         54 |          2 |          1 |         57 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\rpn_r50_fpn.py                                                                    | Python           |         56 |          2 |          1 |         59 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\models\ssd300.py                                                                         | Python           |         49 |          2 |          1 |         52 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\schedules\schedule_1x.py                                                                 | Python           |          9 |          2 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\schedules\schedule_20e.py                                                                | Python           |          9 |          2 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\_base_\schedules\schedule_2x.py                                                                 | Python           |          9 |          2 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\albu_example\README.md                                                                          | Markdown         |         14 |          1 |          5 |         20 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\albu_example\mask_rcnn_r50_fpn_albu_1x_coco.py                                                  | Python           |         73 |          0 |          1 |         74 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\atss\README.md                                                                                  | Markdown         |         15 |          1 |          6 |         22 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\atss\atss_r101_fpn_1x_coco.py                                                                   | Python           |          5 |          0 |          1 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\atss\atss_r50_fpn_1x_coco.py                                                                    | Python           |         60 |          2 |          1 |         63 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\atss\metafile.yml                                                                               | YAML             |         41 |          0 |          3 |         44 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\autoassign\README.md                                                                            | Markdown         |         17 |          1 |          8 |         26 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\autoassign\autoassign_r50_fpn_8x2_1x_coco.py                                                    | Python           |         80 |          4 |          1 |         85 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\autoassign\metafile.yml                                                                         | YAML             |         27 |          0 |          2 |         29 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\carafe\README.md                                                                                | Markdown         |         22 |          1 |         10 |         33 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\carafe\faster_rcnn_r50_fpn_carafe_1x_coco.py                                                    | Python           |         50 |          0 |          1 |         51 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\carafe\mask_rcnn_r50_fpn_carafe_1x_coco.py                                                      | Python           |         60 |          0 |          1 |         61 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\README.md                                                                          | Markdown         |         44 |          1 |         11 |         56 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r101_caffe_fpn_1x_coco.py                                        | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r101_fpn_1x_coco.py                                              | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r101_fpn_20e_coco.py                                             | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_mask_rcnn_r50_caffe_fpn_1x_coco.py                                         | Python           |         36 |          0 |          3 |         39 |
